startup,cohort_year,status,what_changed,current_identity,evidence,evidence_type
Triwi,2018,ACTIVE,,Triwi,"triwi.info live + iOS app; 2.3M TL crowdfunding (~$70K round 2022); Infinia partnership; founders Alara and Zeynep Akcasiz",website+press
Inovarium,2018,ACTIVE,,Inovarium,"inovarium.com live, redirects to product portal",website
Ruwell,2018,PASSIVE,,,"No site",none
Areytech,2018,PASSIVE,,,"areytech.com returns HTTP 403 only, no site",domain
Sensgreen,2018,ACTIVE,,Sensgreen,"sensgreen.com live; $2.62M raised; ~$1.1M ARR 2025; $4.1-4.25M valuation Apr 2025; 12+ countries; latest round Oct 2025",website+database
Hera,2018,PASSIVE,,,"heratalent.com listed for sale",domain
Dora,2018,PASSIVE,,,"No identifiable site; heavy name collision",none
Safetech,2018,PASSIVE,,,"No Turkish site; safetech.io and safetech.ai unrelated",none
Microsolar,2018,PASSIVE,,,"No site",none
B-PREG,2018,ACTIVE,,BPREG,"bpreg.com live; unidirectional and woven prepregs, slit tapes, dry fabrics",website
Ankabeta,2018,PASSIVE,,,"No site",none
Blok-Z,2018,CHANGED,relocated and repositioned,Blok-Z (Germany),"Now Germany-based energy software; 24/7 Carbon-Free Energy via GreenLink platform; listed on EU-Startups, Tracxn, PitchBook; blok-z.com now resolves to unrelated Voltfox page",database+press
Warden Legal,2018,PASSIVE,,,"No site",none
Viliks,2018,PASSIVE,,,"No site",none
Qwerty,2018,PASSIVE,,,"qwertyhealth.com listed for sale",domain
Davet.com,2018,PASSIVE,,,"davet.com listed for sale",domain
AeroES,2019,PASSIVE,,,"aeroes.com listed for sale",domain
Algodocs,2019,ACTIVE,,Algodocs,"algodocs.com live - intelligent document data extraction and automation",website
Bakiyem.com,2019,ACTIVE,,Bakiyem,"bakiyem.com live - virtual POS and payment products",website
EarFit,2019,ACTIVE,,Earfit,"earfit.com.tr live - Acoustic Excellence Engineered by Innovation",website
Fado,2019,UNVERIFIED,,,"fado.com.tr is an unrelated greenhouse systems company",none
Geodo,2019,UNVERIFIED,,,,none
Akillifon,2019,CHANGED,rebranded,Magnus,"Raised 600000 TL from Lima Ventures Dec 2020, then rebranded to Magnus for international operations, ~$420K raised; akillifon.com shows 'Yenileniyoruz'",press
EN/IO,2019,PASSIVE,,,"enio.com.tr shows an unmodified Next.js default page",domain
Hetra,2019,UNVERIFIED,,,"hetra.com.tr is an unrelated web design agency",none
Lonca,2019,CHANGED,pivoted,Lonca,"lonca.co now a B2B wholesale clothing marketplace - was in-store AR shopping campaigns",website
Neopoliklinik,2019,UNVERIFIED,,,,none
Notrino Research,2019,CHANGED,broadened from single device to multi-sector R&D,Notrino Research,"notrino.com now 'AI-Powered Digital Technologies' - R&D across healthcare, energy, automotive, telecoms, banking; entered YFYI with the CurAlive portable ECG",website
Powder Tech,2019,PASSIVE,,,"No domain, no trace since 2019 despite winning an Elginkan cash award",none
Renty,2019,UNVERIFIED,,,"renty.com.tr is an unrelated car rental firm",none
Inspecthink,2019,UNVERIFIED,,,,none
Persona,2019,UNVERIFIED,,,"persona.com.tr is an unrelated attendance-control software vendor",none
Safellence,2019,UNVERIFIED,,,,none
Tiroit / Alp Imaging,2019,UNVERIFIED,,,"tiroit.net returns a blank page",none
Tuvis,2019,UNVERIFIED,,,"tuvis.com is an unrelated Israeli communications-security firm",none
Tvoystol.ru,2019,UNVERIFIED,,,,none
Volte,2019,UNVERIFIED,,,"volte.com.tr is an unrelated electricity retailer; volte.io is an unrelated telecoms core network",none
Wobeya,2019,UNVERIFIED,,,,none
SRT - Solar Roof Track,2019,UNVERIFIED,,,,none
TradeMate,2019,UNVERIFIED,,,"trademate.com listed for sale",none
UlakFin,2019,UNVERIFIED,,,,none
Bionova,2020,ACTIVE,,Bionova,"LinkedIn bionovabiotech; new METU Teknopark project extracting pectin from apple pomace",linkedin+press
Breathall,2020,PASSIVE,,,"breathall.com listed for sale",domain
Case Future,2020,ACTIVE,,Case Future,"casefuture.com live - Discover, watch and learn",website
Castera,2020,PASSIVE,,,"castera.co parked (lander redirect)",domain
Favor,2020,PASSIVE,,,"No site",none
HED,2020,UNVERIFIED,,,,none
Hetes,2020,UNVERIFIED,,,,none
HiFace,2020,UNVERIFIED,,,,none
iyiMakina,2020,ACTIVE,,iyiMakina A.S.,"iyimakina.com live - used heavy machinery marketplace",website
Magfi,2020,ACTIVE,,Magfi,"magfi.co live production app",website
Noticy,2020,UNVERIFIED,,,,none
Oculera,2020,ACTIVE,,Oculera,"Received investment from UNLU Ventures Nov 2025; VR eye-health testing, CE and FDA approved; note oculera.com is parked",press
OPTIO,2020,PASSIVE,,,"optio.tech parked",domain
Porion,2020,PASSIVE,,,"No site",none
solarVis,2020,ACTIVE,,solarVis,"solarvis.co live - the Command Center for Solar Sales",website
Sweephy,2020,CHANGED,relocated,Sweephy (Tallinn),"HQ now Tallinn Estonia; founded 2021 by Abdullah Alka Kandilli, Erce Can Bekture, Ertug Dilek; $180K raised in a 2022 seed round from Startup Wise Guys and Alesta",database
Vivente,2020,PASSIVE,,,"vivente.health parked; no live site despite winning the 2020 Elginkan Grand Prize",domain
WeeKiddo,2020,PASSIVE,,,"weekiddo.com listed for sale",domain
Yolla,2020,UNVERIFIED,,,,none
Biopols,2021,ACTIVE,,Biopols,"biopols.co live - Keep Smart Keep Fresh",website
Ddosify,2021,CHANGED,rebranded and pivoted,Anteon,"Now Anteon (formerly Ddosify): open-source eBPF-based Kubernetes monitoring AND performance testing; Delaware Inc; Seed VC; 7K+ GitHub stars; Red Hat certified; co-founder/CTO Fatih Baltaci",website+database
Distant,2021,ACTIVE,,Distant,"getdistant.com live",website
Bionome,2022,ACTIVE,,Bionome Innovation and Technology,"bionome.com.tr live; founded 2022 at ODTU Teknokent; CBD and pharma/cosmetic raw materials via engineered micro-organisms; 2nd place in the EIT-backed EWA programme; chair Nerve Cansu Iseri",website+press
Coffenext,2022,PASSIVE,,,"No domain resolves despite winning an Elginkan 100000 TL award",none
Driven,2022,UNVERIFIED,,,,none
Appvest,2022,UNVERIFIED,,,,none
The Clico,2022,UNVERIFIED,,,"theclico.com redirects to an unrelated clico.co products site",none
SynthData,2022,UNVERIFIED,,,"synthdata.net and synthdata.co are unrelated firms",none
Phoyer,2022,UNVERIFIED,,,,none
Seften,2022,PASSIVE,,,"seften.com shows 'Coming Soon / under construction'",domain
Nefes IoT,2023,ACTIVE,,Nefes IOT,"nefesiot.com live; early forest-fire detection over NB-IoT and LoRaWAN; TUBITAK BiGG 1512 grant",website+press
Some Carbon,2023,ACTIVE,,Some Carbon,"In the Turk Telekom Ventures portfolio; CO2-to-methanol and carbon management for iron-steel and cement",press
Rens,2023,ACTIVE,,RENS,"rens.co live - Surdurulebilirlikte Dijital Donusum",website
Raw Banana Studio,2024,UNVERIFIED,,,"2024 Elginkan Grand Prize winner; no current public operating signal checked",none
Agada Tech,2024,UNVERIFIED,,,"agada.ai listed for sale at $50000; agada.com.tr returns 404; name normalized from Agada",none
Datablast,2024,UNVERIFIED,,,"2024 VLMedia Special Award; no current public operating signal checked",none
Umigame Studios,2024,UNVERIFIED,,,"2024 Onedio promotion special award; no current public operating signal checked",none
Vignetim,2024,UNVERIFIED,,,"2024 Onedio promotion special award; overlaps with Deep Tech Ankara event; no current public operating signal checked",none
Toprak Mekatronik,2024,UNVERIFIED,,,"2024 Btech prototyping/production + Techventure awards; no current public operating signal checked",none
Alter,2024,UNVERIFIED,,,"2024 Bites Special Award; no current public operating signal checked",none
DATASCOPE.AI,2024,UNVERIFIED,,,"2024 Techventure Investment Award; no current public operating signal checked",none
Viseur AI,2024,UNVERIFIED,,,"2024 TEB Special Award; overlaps with Deep Tech Ankara event; no current public operating signal checked",none
HyperCrops,2024,PASSIVE,,,"hypercrops.com parked (lander redirect); provisional - cohort is recent",domain
Step4,2024,UNVERIFIED,,,"Too recent for a public footprint",none
Meetmeat Biotechnology,2024,UNVERIFIED,,,"2024 ODTU TEKNOKENT Special Award; overlaps with Deep Tech Ankara event; no current public operating signal checked",none
Posamas,2024,UNVERIFIED,,,"2024 ODTU TEKNOKENT Special Award; no current public operating signal checked",none
Hyperia,2024,UNVERIFIED,,,"2024 ODTU TEKNOKENT Special Award; overlaps with Deep Tech Ankara event; no current public operating signal checked",none
AdmetGPT,2025,ACTIVE,,ADMETGPT,"admetgpt.com live - Bio-Generative Intelligence Platform, ADMET prediction",website
AliceCo AI,2025,UNVERIFIED,,,"Too recent for a public footprint",none
ARGOS-EO,2025,ACTIVE,,Argos Elektro-Optik,"argos-eo.com live - Ileri Teknoloji Savunma Cozumleri",website
BugScribe,2025,PASSIVE,,,"bugscribe.com parked; provisional - won the 2025 ODTU TEKNOKENT Incubation Award, likely pre-launch",domain
Ajanda,2025,PASSIVE,,,"ajanda.ai parked; provisional - cohort is recent",domain
SAKAI,2025,PASSIVE,,,"sakai.com.tr shows a 'Domain Default page'; provisional - cohort is recent",domain
Snipr,2025,ACTIVE,,Snipr,"snipr.io live",website
SunSight Labs,2025,UNVERIFIED,,,"No domain resolves; too recent for a public footprint",none
TiPS Cell Technologies,2025,ACTIVE,,TiPS Cell Technologies,"tipscelltech.com live - induced pluripotent stem cells and neurons",website
Vision Labs,2025,ACTIVE,,Vision Labs,"visionlabs.com.tr live - AI-Powered Mobile Apps, Computer Vision Studio",website
