year,edition,track_or_category,startup,description,outcome
2015,11,PRO Health,Btech,Spinal fusion screw guide system,"TEB Grand Prize; revenue doubled annually; 1M+ TL by yr3; later a YFYI sponsor"
2015,11,PRO Health,Inofab,Spirohome wireless spirometer,"EUR220K 2017 (500 Startups); EUR1.1M 2018 (ACT + Growth Circuit); CE 2019; 17 countries in 3 months"
2015,11,PRO Energy,Enwair,Silicon-based battery anodes,
2015,11,PRO Energy,Ekosist,Wastewater energy conversion,
2015,11,PRO Energy,Hidroturbin,Arvida open-channel hydroelectric turbine,YEDAS Grand Prize
2016,12,,Isiteks,Silver-nanowire coated heated smart textile,Elginkan Grand Prize + SSM Grand Prize
2016,12,,Talassa,,Arcelik Grand Prize + public vote 1st
2016,12,,Wmedya Interactive,Ondestek,Microsoft Grand Prize + BEAM cyber-security award
2016,12,,Indisera,,TEB Grand Prize
2016,12,,Otsimo,Special-education / autism learning app,ODTU TEKNOKENT + Onedio special awards
2016,12,,Deplike,Guitar amp simulation and music apps,ODTU TEKNOKENT + Onedio special awards
2016,12,,Planote,Travel and event platform,Onedio special award
2016,12,,Momentum,,OSTIM special award
2016,12,,GBlock,,Elginkan US Camp award
2016,12,,Temperfect,,Public vote 2nd
2016,12,,Matmas,,Public vote 3rd
2017,13,,Buyan,Self-sealing coating preventing fuel leakage,Elginkan Grand Prize
2017,13,,Restearn,Restaurant analytics and customer data software,"Public vote (6874); Growth Circuit investment; Draper University"
2017,13,,iCaked,3D custom cake design and ordering marketplace,"Btech prototyping + Onedio awards; Growth Circuit investment; Draper"
2017,13,,Peerket,SaaS for sports centres / sports meetup,"Onedio award; Growth Circuit investment; Draper"
2017,13,,Seyisco,Smart pothole detection for roads,"KocSistem + Elginkan international awards; Growth Circuit; Draper"
2017,13,,Trendoline,Weekly-challenge social platform,"Growth Circuit investment; Draper"
2017,13,,Comind,,"Onedio award; Growth Circuit investment"
2017,13,,Webgazer,Real-time monitoring and analytics for servers/APIs,"Growth Circuit investment; Draper via T-BIGG"
2017,13,,3D3 Teknoloji,,IE Business School + OSTIM awards
2017,13,,Mikro Biyosistemler,,IE Business School + ASO awards
2017,13,,Pyronome,Cloud software development tooling,Savunma Sanayii award
2017,13,,Kuantek Elektronik Bilisim,Data-driven epilepsy technology,TEB award
2017,13,,AllEars / Drive Buddy,Driving score from crash/collision reporting,
2017,13,,DijiFi / Dijifin,Digital financial advisor for pension companies,
2017,13,,IMERA,,
2017,13,,Gauss Istatistik Ar-Ge,Instant research data analysis without expertise,
2017,13,,Mavilab Yazilim,Cybelle Lazer painless epilation,
2017,13,,Niceveri Ar-Ge,Forklift fleet management software,
2017,13,,Burkut,,
2017,13,,Bzzify Yazilim,,
2017,13,,EYESOFT Bilisim,,
2017,13,,MASA,,
2017,13,,Lingo,Interactive English learning with speech assistant for children,Draper via T-BIGG
2018,14,,Triwi,Smart bra for breast cancer early detection,Elginkan Grand Prize + Onedio
2018,14,,Inovarium,High-accuracy cost estimation for manufacturing SMEs,OSTIM award + Elginkan Internationalisation
2018,14,,Ruwell,,Onedio 50000 TL
2018,14,,Areytech,,KocSistem 30000 TL
2018,14,,Sensgreen,IoT indoor air quality,"Tupras 25000 TL; Growth Circuit investment; Draper"
2018,14,,Hera,Talent management,Tupras 25000 TL
2018,14,,Dora,,Savunma Sanayii 25000 TL
2018,14,,Safetech,,EPDK-ELDER 25000 TL
2018,14,,Microsolar,,EPDK-ELDER 25000 TL
2018,14,,B-PREG,,TEB 25000 TL
2018,14,,Ankabeta,Smart parking with online payment,Public vote 7500 TL
2018,14,,Blok-Z,,"Growth Circuit investment; Draper"
2018,14,,Warden Legal,Legal AI,"Growth Circuit investment; Draper"
2018,14,,Viliks,,"Growth Circuit investment; Draper"
2018,14,,Qwerty,Health tech,
2018,14,,Davet.com,Weddings,
2019,15,,AeroES,Wind tunnels for domestic UAV/vehicle aerodynamic testing,
2019,15,,Algodocs,AI document data extraction,
2019,15,,Bakiyem.com,POS-free credit card instalments,60M TL transactions processed
2019,15,,EarFit,3D-printed/scanned hearing aid moulds,Elginkan 50000 TL + Ostim Teknopark
2019,15,,Fado,Watch brand videos to earn discounts,TEB 25000 TL
2019,15,,Geodo,Geospatial analysis automation,
2019,15,,Akillifon,AI portfolio optimisation and robo-advisory,"KocSistem 30000 TL; raised 600000 TL from Lima Ventures Dec 2020"
2019,15,,EN/IO,Lightning-derived natural pesticides for organic agriculture,Elginkan Internationalisation Award
2019,15,,Hetra,Demographic and occupancy analytics for shared spaces,
2019,15,,Lonca,In-store AR shopping campaigns,
2019,15,,Neopoliklinik,Symptom triage and doctor matching,
2019,15,,Notrino Research,CurAlive portable 6-channel ECG with PPG and AI diagnostics,Ostim Teknopark technology production award
2019,15,,Powder Tech,Room-temperature boron carbide; 95% energy and 96% time saving,Elginkan 50000 TL + OSTIM 20000 TL
2019,15,,Renty,P2P rental platform for university students,Onedio 50000 TL + PTTAVM 20000 TL
2019,15,,Inspecthink,Deep-learning machine vision defect detection,
2019,15,,Persona,Psychology-based HR software to reduce turnover,Onedio 50000 TL
2019,15,,Safellence,Cloud IoT + AI workplace safety,
2019,15,,Tiroit / Alp Imaging,Thyroid cancer microcalcification imaging,Ostim Teknopark technology production award
2019,15,,Tuvis,AI visual quality control for fabric manufacturers,
2019,15,,Tvoystol.ru,Restaurant reservation platform for Russia,Onedio 50000 TL + PTT Kargo discount
2019,15,,Volte,EV charging access and unified subscription,ELDER 25000 TL
2019,15,,Wobeya,Freelancer marketplace for marketing/BD/sales,
2019,15,,SRT - Solar Roof Track,Rooftop solar tracking; +35% generation,ELDER 25000 TL
2019,15,,TradeMate,NLP investment news analytics,
2019,15,,UlakFin,,Tupras 15000 TL
2020,16,,Bionova,Food waste to enzymes and bioethanol,ODTU TEKNOKENT Internationalisation Award
2020,16,,Breathall,Smart chest-physiotherapy vest,
2020,16,,Case Future,Personalised education with mentor network,Onedio award
2020,16,,Castera,3D-printed patient-specific medical products,
2020,16,,Favor,Surplus food marketplace with stock/price optimisation,Onedio award
2020,16,,HED,Game controller delivering upper-extremity physiotherapy,
2020,16,,Hetes,Same-day store-to-home e-commerce logistics,ODTU TEKNOKENT Internationalisation Award
2020,16,,HiFace,AR face-shape style recommendation and try-on,
2020,16,,iyiMakina,Used heavy machinery auction marketplace,OSTIM award
2020,16,,Magfi,Interest-group platform with group advertising and micro-payments,Onedio award
2020,16,,Noticy,Smart water and energy saving shower devices,
2020,16,,Oculera,VR eye-health testing; CE and FDA approved; 1/5 the cost,Elginkan International Program Award
2020,16,,OPTIO,AI housing design optimisation to BIM/CAD/quantities,TEB award
2020,16,,Porion,Portable ppm-level gluten detector for coeliac patients,ODTU TEKNOKENT Internationalisation Award
2020,16,,solarVis,End-to-end software for solar EPC firms,
2020,16,,Sweephy,Autonomous on-premise data cleaning,"KocSistem award; ODTU TEKNOKENT Internationalisation Award"
2020,16,,Vivente,AI retinal camera for diabetic eye disease screening,"Elginkan Grand Prize 100000 TL; TUBITAK 1512 company"
2020,16,,WeeKiddo,Pre-school interactive education (5P + Montessori),Onedio award
2020,16,,Yolla,Electric last-mile delivery plus software,
2021,17,,Biopols,Antibacterial/antioxidant biopolymer food packaging coating,Elginkan Grand Prize (shared)
2021,17,,Ddosify,High-performance distributed load testing software,Elginkan Grand Prize (shared)
2021,17,,Distant,Distant Cloud location-based augmented reality service,Elginkan Internationalisation Award
2022,18,,Bionome,Therapeutic and cosmetic chemicals (anxiety/Alzheimer/cancer/epilepsy; moisturising/acne),Elginkan 100000 TL
2022,18,,Coffenext,Coffee technology,Elginkan 100000 TL + TEB international event award
2022,18,,Driven,,Elginkan Internationalisation Award
2022,18,,Appvest,,OSTIM 50000 TL
2022,18,,The Clico,AI for customer complaint resolution,KocSistem + PTT AVM special awards
2022,18,,SynthData,,VLMedia special award
2022,18,,Phoyer,,Onedio special award
2022,18,,Seften,,Onedio special award
2023,19,,Nefes IoT,IoT,Elginkan Grand Prize
2023,19,,Some Carbon,Carbon capture,OSTIM special award
2023,19,,Rens,,OSTIM special award
2024,20,,Raw Banana Studio,Game / creative studio,Elginkan Grand Prize
2024,20,,Agada Tech,,INVEST101 special award
2024,20,,Datablast,,VLMedia special award
2024,20,,Umigame Studios,,Onedio promotion special award
2024,20,,Vignetim,,Onedio promotion special award
2024,20,,Toprak Mekatronik,,Btech prototyping and production + Techventure special awards
2024,20,,Alter,,Bites special award
2024,20,,DATASCOPE.AI,,Techventure investment award
2024,20,,Viseur AI,,TEB special award
2024,20,,HyperCrops,Agritech,OSTIM incubation award
2024,20,,Step4,,OSTIM special award
2024,20,,Meetmeat Biotechnology,,ODTU TEKNOKENT special award
2024,20,,Posamas,,ODTU TEKNOKENT special award
2024,20,,Hyperia,,ODTU TEKNOKENT special award
2025,21,,AdmetGPT,AI (ADMET prediction),
2025,21,,AliceCo AI,AI,
2025,21,,ARGOS-EO,Earth observation / space,
2025,21,,BugScribe,AI-powered bug reporting assistant,ODTU TEKNOKENT Incubation Award
2025,21,,Ajanda,,
2025,21,,SAKAI,,
2025,21,,Snipr,,
2025,21,,SunSight Labs,Solar / space,Elginkan Vakfi Special Award
2025,21,,TiPS Cell Technologies,Cell technologies,Elginkan Vakfi Special Award
2025,21,,Vision Labs,Computer vision,
